The index of the character in 常用字字形表 (二零零零年修訂本),香港: 香港教育學院, 2000, ISBN 962-949-040-4. This publication gives the “proper” shapes for 4759 characters as used in the Hong Kong school system. The index is an integer, zero-padded to four digits.

坤	0756
坼	0757
垂	0758
型	0759
垠	0760
垣	0761
垮	0762
垢	0763
城	0764
埔	0765
埋	0766
埃	0767
培	0768
域	0769
堅	0770
基	0771
堵	0772
執	0773
堂	0774
堆	0775
埠	0776
報	0777
堯	0778
堪	0779
堰	0780
場	0781
堤	0782
堡	0783
塞	0784
塑	0785
塘	0786
塗	0787
塚	0788
塔	0789
填	0790
塌	0791
塊	0792
塢	0793
塵	0794
塾	0795
境	0796
墓	0797
墊	0798
塹	0799
墅	0800
增	0801
墀	0802
墳	0803
墜	0804
墮	0805
墟	0806
壅	0807
壇	0808
壁	0809
墾	0810
壕	0811
壓	0812
壑	0813
壙	0814
壘	0815
壞	0816
壟	0817
壤	0818
壩	0819
士	0820
壬	0821
壯	0822
壹	0823
壺	0824
壽	0825
夏	0826
夕	0827
外	0828
夙	0829
多	0830
夜	0831
够	0832
夥	0833
夢	0834
夤	0835
大	0836
太	0837
天	0838
夫	0839
夭	0840
央	0841
失	0842
夷	0843
夸	0844
夾	0845
奉	0846
奇	0847
奈	0848
奔	0849
奄	0850
奕	0851
契	0852
奏	0853
奎	0854
奐	0855
套	0856
奘	0857
奚	0858
奢	0859
奠	0860
奧	0861
奪	0862
奩	0863
奮	0864
女	0865
奴	0866
奶	0867
妄	0868
奸	0869
妃	0870
好	0871
她	0872
如	0873
妒	0874
妨	0875
妞	0876
妣	0877
妍	0878
妤	0879
妓	0880
妊	0881
妝	0882
妙	0883
妖	0884
妥	0885
妾	0886
妻	0887
妹	0888
妮	0889
姑	0890
姐	0891
姍	0892
妯	0893
姒	0894
委	0895
姆	0896
始	0897
姓	0898
姊	0899
妳	0900
姜	0901
姘	0902
姿	0903
姣	0904
姨	0905
娃	0906
姥	0907
姪	0908
姻	0909
姚	0910
姦	0911
威	0912
娑	0913
娘	0914
娣	0915
娜	0916
娓	0917
姬	0918
娠	0919
娟	0920
娛	0921
娌	0922
娩	0923
娥	0924
婉	0925
婆	0926
婊	0927
婦	0928
婪	0929
娶	0930
婀	0931
婁	0932
娼	0933
婢	0934
婚	0935
婷	0936
媚	0937
婿	0938
媒	0939
媪	0940
媛	0941
嫂	0942
嫁	0943
嫉	0944
嫌	0945
媾	0946
媽	0947
媳	0948
媲	0949
嫡	0950
嫩	0951
嫗	0952
嫖	0953
嫣	0954
嫦	0955
嫘	0956
嬉	0957
嫻	0958
嫺	0958
嬋	0959
嫵	0960
嬌	0961
嬴	0962
嬝	0963
嬪	0964
嬤	0965
嬰	0966
嬸	0967
孀	0968
子	0969
孑	0970
孓	0971
孔	0972
孕	0973
字	0974
存	0975
孝	0976
孜	0977
孚	0978
孟	0979
孤	0980
季	0981
孩	0982
孫	0983
孰	0984
孳	0985
孱	0986
孵	0987
學	0988
孺	0989
孽	0990
孿	0991
它	0992
宂	0993
宇	0994
守	0995
宅	0996
安	0997
完	0998
宋	0999
宏	1000
宗	1001
定	1002
官	1003
宜	1004
宙	1005
宛	1006
宣	1007
宦	1008
室	1009
宥	1010
客	1011
宰	1012
家	1013
宴	1014
宮	1015
宵	1016
害	1017
容	1018
密	1019
寇	1020
寅	1021
寄	1022
寂	1023
宿	1024
寒	1025
富	1026
寓	1027
寐	1028
寞	1029
寧	1030
寡	1031
寥	1032
寨	1033
實	1034
寢	1035
寤	1036
察	1037
寮	1038
寬	1039
審	1040
寫	1041
寵	1042
寶	1043
寸	1044
寺	1045
封	1046
射	1047
尉	1048
專	1049
將	1050
尊	1051
尋	1052
對	1053
導	1054
小	1055
少	1056
尖	1057
尚	1058
尤	1059
尬	1060
就	1061
尷	1062
尸	1063
尺	1064
尼	1065
局	1066
屁	1067
尿	1068
尾	1069
居	1070
屆	1071
屈	1072
屎	1073
屏	1074
屍	1075
屋	1076
